0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,label
24.221752,0.06596974,22.914484,23.819845,25.085009,2.1705246,24.635826,8.173025,8.557362,4.378116,0.123388186,0.7166612,0.032965332,0.12414058,0.19387732,0.16091199,1.6402913,1.1583064,1.4943554,0.9506135,0.029650606,0.80047476,26.011557,0.6250209,12.143637,0.7652405,17.115362,0.96099174,-0.31843415,-42.21436,0.014099998,0.9436812,1.0003592,1.0145502,5.299906,0.4419089,4.773696,1.8430142,21.758286,0.31742367,500.28024,0.3448229,1207.5437,0.17154121,-111.54164,-0.8323168,1559.8538,0.18889287,831.8449,0.45194668,-120.07178,-0.69622827,2520.0984,0.09898358,897.0869,0.40637645,-119.33606,-0.7071491,-16.250416,-0.39937612,21.140945,0.40501338,0.03857234,0.57126886,-0.03897591,-0.3160002,0.047607943,0.3914471,34.44285,0.34773028,12.189945,0.8537389,25.467716,0.7494261,-5.572315,-2.4022918,-10.692951,18.155031,0.00706927,-0.010700474,0.015183134,3.6363637,2.2304833,0.19833334,0.10526422,0.19571428,0.13615717,-48.958626,neutral
28.392778,0.0570844,27.896152,28.773003,29.384491,1.4883385,85.95535,87.71854,13.195741,16.647898,0.15105012,0.655309,0.03251849,0.15348434,0.25121436,0.21869586,2.4683084,1.1800842,1.5367147,0.5251026,0.045956682,0.85164964,33.74958,0.35025343,16.934444,0.6433696,7.6188455,1.5834587,-3.011426,-5.1190443,0.04320788,3.0276546,1.2146051,0.86270535,6.8687673,0.4999228,0.61791456,15.441261,27.961039,0.34077227,457.40558,0.28538013,1290.4285,0.13975108,-74.21526,-1.1949079,1369.6648,0.19001712,1016.1813,0.30493787,-83.91432,-0.9654009,2486.615,0.09545011,746.6048,0.37612882,-90.775246,-0.8383751,-21.32223,-0.353903,31.152275,0.2683073,0.052565984,0.69420904,-0.034831733,-0.55861145,0.06550611,0.52769345,38.46108,0.28130183,20.348524,0.53471345,8.09506,1.7225888,-8.334446,-1.8456185,-14.102818,22.814793,0.012483198,-0.009664545,0.009470274,4.054054,1.0344828,0.64,0.60171974,0.30333334,0.17326921,-45.768524,neutral
30.09326,0.20162506,27.10488,28.406769,31.600574,4.495695,25.302778,9.753782,115.75666,0.0,0.22450458,0.8816104,0.03243912,0.161828,0.40782803,0.37538892,3.1765103,1.8811945,2.2788436,1.0379938,0.087733075,1.1424127,28.19052,0.50298333,14.213443,0.71439123,10.190595,1.233797,14.015408,0.7587536,0.015875697,0.9616583,1.1640342,1.007865,6.99196,0.57967645,4.0327992,1.7742766,28.498743,0.29374772,494.86877,0.292618,1275.9774,0.2562287,-98.34755,-0.96215206,1508.3164,0.15682526,1064.9241,0.36886072,-106.46264,-0.7865512,2528.5715,0.09108538,827.6929,0.40153828,-107.21028,-0.77083,-19.978636,-0.560785,26.502228,0.46399578,0.07560404,0.34724224,-0.03211448,-0.34122807,0.1523228,0.6371851,33.167557,0.4843305,18.87102,0.54983044,13.932635,1.0836574,15.800327,0.84318876,-12.423603,22.253412,0.008898277,-0.0031315712,0.014609813,2.857143,1.4634147,0.36666667,0.22881335,0.22,0.16355427,-37.37636,neutral
25.559492,0.11395752,23.70735,24.557102,27.629625,3.9222755,180.89316,103.13784,16.412098,7.7819695,0.1577532,0.7710735,0.03002217,0.14813739,0.27588502,0.24586284,2.321688,1.5739405,1.4529427,0.46615714,0.052511852,0.96166456,30.143446,0.47915635,13.105469,0.58898383,9.948552,1.1849194,12.78428,0.6920261,0.013014133,0.86570114,1.0338309,0.7854983,5.812315,0.59482384,3.1860406,3.9113293,28.548233,0.2646204,489.34094,0.31509474,1311.5203,0.16624604,-96.71888,-0.9660317,1502.7175,0.17057624,1041.0867,0.291544,-104.68951,-0.80212325,2490.638,0.100464314,835.5011,0.40502164,-107.7064,-0.75358784,-20.821434,-0.34359127,27.654594,0.3079307,0.045714002,0.7187666,-0.03292914,-0.37118644,0.08540344,0.54545766,38.016785,0.30657902,15.439147,0.48416126,11.925169,1.212083,13.635251,0.7539995,-12.712541,20.475174,0.0065451264,-0.006300676,0.014976032,3.3088236,2.2556393,0.23333333,0.12905641,0.16142856,0.15347672,-43.48723,neutral
23.683453,0.03942409,22.750687,23.533966,24.544937,1.7942505,32.15066,35.753525,10.976106,3.0667725,0.1627299,0.82235014,0.03332853,0.1101926,0.29701298,0.26368445,3.020332,1.3031874,2.3613875,1.1143553,0.05010045,0.8226417,31.35461,0.3694397,12.630048,0.7215882,12.508589,1.0408213,17.804943,0.59117997,0.014085803,0.80614245,1.2625937,0.8171023,5.3373876,0.46102223,1.932317,1.7520629,23.792816,0.31681448,469.15796,0.20280556,1252.9259,0.12730482,-83.68044,-1.0627354,1503.0454,0.11665095,1015.1662,0.43123978,-94.45177,-0.85286164,2433.0208,0.061198875,732.3058,0.2579348,-95.343025,-0.8356587,-19.284906,-0.464574,24.422043,0.3751017,0.037911482,0.7978909,-0.03543157,-0.46935964,0.0725869,0.49183255,35.45173,0.30450404,14.298783,0.7049776,17.553316,0.8147451,21.824093,0.4921914,-15.03236,24.671114,0.01058547,-0.0059810267,0.018796708,3.4146342,2.5125628,0.236,0.121918,0.11666667,0.100111045,-43.97813,neutral
28.515718,0.114124626,26.821972,29.422922,30.616066,3.794094,48.851913,18.637106,9.2200365,5.3055634,0.24175614,0.6544756,0.042781413,0.2677575,0.3867073,0.3439259,1.9145197,1.3371665,1.3582451,0.62415683,0.08122165,0.74883884,35.83561,0.23100197,16.234861,0.6956816,13.740729,0.9184302,10.544091,1.6468997,0.024169005,2.8978415,0.8912633,0.9533354,8.123671,0.429773,13.531563,2.2516835,34.22335,0.17491937,411.27997,0.29378077,1296.5211,0.1721901,-68.683586,-1.3284523,1404.5963,0.17796405,912.22516,0.21992171,-79.86024,-1.0015765,2504.8804,0.11099645,735.8606,0.3495395,-84.8951,-0.90166444,-24.263302,-0.29153386,32.149002,0.18049969,0.04135844,0.7596267,-0.0243255,-0.820549,0.11314785,0.4275508,39.030315,0.16274264,18.646948,0.6829499,17.284046,0.78484184,8.200413,2.5111878,-19.085835,30.239872,-0.022138864,-0.010567258,0.011994299,3.2467532,0.6756757,1.02,0.0,0.44,0.0,-38.49967,angry
25.186253,0.062998064,24.007866,25.170555,26.883577,2.8757114,48.00096,53.631786,15.590536,11.416792,0.16865599,1.0721291,0.025595795,0.069647245,0.34667277,0.321077,2.1879735,1.0116409,1.9249775,0.55247027,0.053048816,1.0654157,33.661274,0.33868334,9.092144,1.5197563,8.456254,1.0486896,4.620999,3.331529,0.015303588,1.0588624,1.1513003,0.9185476,5.449153,0.43464538,8.819475,0.56598336,32.47218,0.3693039,439.37872,0.300292,1404.3623,0.15925829,-101.50738,-0.9187625,1343.3231,0.16400711,1036.7534,0.17097774,-105.53628,-0.8431147,2513.2334,0.09954527,840.2709,0.5099804,-113.28441,-0.71946025,-18.409288,-0.6079556,30.544638,0.30933875,0.033301864,0.7021225,-0.022966053,-0.94512683,0.096945636,0.49075854,42.49696,0.18680386,7.608064,2.4050407,9.133719,1.258048,-1.8546449,-10.085029,-16.39687,26.092014,-0.013629424,-0.0058247745,0.0074729254,1.8433181,1.421801,0.35999998,0.07118052,0.24,0.15937376,-43.52771,angry
25.706133,0.06780129,24.602638,25.45327,26.566887,1.9642487,34.07072,16.594103,13.348792,7.858071,0.14008138,0.79877216,0.02634254,0.12296373,0.25069526,0.22435272,1.9330885,1.0232065,1.6515093,0.5296867,0.03930164,0.83400196,26.906448,0.46778885,13.505508,0.7046014,24.715725,0.7741323,9.231429,1.0991287,0.01603956,0.85613203,0.9782528,0.8626875,6.5627017,0.33250278,6.840447,1.6520045,25.981546,0.3459019,401.08444,0.28388262,1134.1533,0.17370681,-98.22448,-0.94594204,1546.3279,0.15116258,626.9452,0.53949726,-108.7255,-0.7562889,2501.2031,0.07982143,872.14624,0.38781053,-107.388115,-0.7794726,-17.698557,-0.4477891,24.107145,0.41780022,0.035193272,0.7208947,-0.021257114,-0.74499935,0.06397086,0.3882363,30.981117,0.37838927,11.976333,0.88685274,38.06614,0.44617426,4.280752,2.5109863,-17.52932,27.230183,-0.013821108,-0.0054869056,0.013187977,3.265306,1.6949153,0.31,0.100249685,0.206,0.16942255,-46.075462,angry
25.753931,0.06371312,24.349054,25.703768,27.344995,2.9959412,88.950195,110.32864,13.148594,2.8993468,0.12295851,0.89186877,0.025812928,0.08585507,0.22512284,0.19930992,1.7420331,1.042566,1.6755941,0.6164107,0.036625355,1.076826,24.62327,0.6852304,12.103232,0.9071777,17.859499,0.95327604,9.811342,0.93965304,0.016479097,1.1585425,1.1952559,0.94279647,6.247946,0.3993703,3.9788213,1.286662,29.486673,0.37423566,401.1598,0.3028436,1193.9852,0.2505812,-122.19404,-0.76240844,1422.4585,0.16365908,803.84296,0.4331517,-129.30844,-0.6460818,2461.4795,0.07311389,792.21704,0.35582992,-130.89688,-0.6239068,-18.97642,-0.47857657,28.102314,0.33326396,0.039387632,0.5880994,-0.012259415,-1.3898324,0.07349144,0.48249626,35.759354,0.32262304,11.729106,1.2197622,29.854588,0.63906974,8.650206,1.2072461,-11.934244,20.887148,-0.008820413,-0.004195282,0.011759822,2.688172,1.3661202,0.292,0.13991426,0.3483333,0.20731752,-46.14844,angry
27.813198,0.12828888,25.618193,27.053984,29.11474,3.4965477,636.8934,862.8449,106.621346,127.1612,0.16044979,1.0096575,0.026984608,0.07552551,0.33244303,0.30545843,2.0598931,1.1683129,3.706733,3.6542492,0.05634486,1.4156319,29.176344,0.33393273,7.3802304,1.5669874,9.906472,1.5382439,-0.22546595,-94.752815,0.030729208,1.0491184,1.3018967,0.85421073,4.372112,0.72072506,-0.22448367,-30.416622,17.689474,0.76970226,443.85388,0.37915346,1205.603,0.1606783,-110.200424,-0.8220014,1318.4957,0.20590536,828.5569,0.33113608,-108.930984,-0.81767756,2526.3467,0.09098444,543.26056,0.4833205,-114.72669,-0.7235631,-12.887567,-0.806616,24.674257,0.2974941,0.02883874,0.90460783,-0.018454257,-1.210997,0.095630124,0.92227197,33.968037,0.32983884,6.1772623,2.489207,13.1835575,1.4745919,-12.069288,-1.8800217,-14.556395,25.50669,-0.005028339,-0.0048626517,0.021904279,3.0120482,2.5000002,0.19,0.120208144,0.19,0.10793516,-45.248154,angry
